area_code,cell_code,X,Y,Z,Status
F0,F04-13-01,7,7,1,enable
F0,F04-13-02,7,7,2,enable
F0,F04-13-03,7,7,3,enable
F0,F04-14-01,7,8,1,enable
F0,F04-14-02,7,8,2,enable
F0,F04-14-03,7,8,3,enable
F0,F04-15-01,8,7,1,enable
F0,F04-15-02,8,7,2,enable
F0,F04-15-03,8,7,3,enable
F0,F04-16-01,8,8,1,enable
F0,F04-16-02,8,8,2,enable
F0,F04-16-03,8,8,3,enable
F0,F04-17-01,9,7,1,enable
F0,F04-17-02,9,7,2,enable
F0,F04-17-03,9,7,3,enable
F0,F04-18-01,9,8,1,enable
F0,F04-18-02,9,8,2,enable
F0,F04-18-03,9,8,3,enable
F0,F04-19-01,10,7,1,enable
F0,F04-19-02,10,7,2,enable
F0,F04-19-03,10,7,3,enable
F0,F04-20-01,10,8,1,enable
F0,F04-20-02,10,8,2,enable
F0,F04-20-03,10,8,3,enable
F0,F04-21-01,11,7,1,enable
F0,F04-21-02,11,7,2,enable
F0,F04-21-03,11,7,3,enable
F0,F04-22-01,11,8,1,enable
F0,F04-22-02,11,8,2,enable
F0,F04-22-03,11,8,3,enable
F0,F04-23-01,12,7,1,enable
F0,F04-23-02,12,7,2,enable
F0,F04-23-03,12,7,3,enable
F0,F04-24-01,12,8,1,enable
F0,F04-24-02,12,8,2,enable
F0,F04-24-03,12,8,3,enable
F0,F04-25-01,13,7,1,enable
F0,F04-25-02,13,7,2,enable
F0,F04-25-03,13,7,3,enable
F0,F04-26-01,13,8,1,enable
F0,F04-26-02,13,8,2,enable
F0,F04-26-03,13,8,3,enable
F0,F04-27-01,14,7,1,enable
F0,F04-27-02,14,7,2,enable
F0,F04-27-03,14,7,3,enable
F0,F04-28-01,14,8,1,enable
F0,F04-28-02,14,8,2,enable
F0,F04-28-03,14,8,3,enable
F0,FDR-02-01,1,9,1,enable
F0,FDR-02-02,1,9,2,enable
F0,FDR-02-03,1,9,3,enable
F0,FDR-04-01,2,9,1,enable
F0,FDR-04-02,2,9,2,enable
F0,FDR-04-03,2,9,3,enable
F0,FDR-06-01,3,9,1,enable
F0,FDR-06-02,3,9,2,enable
F0,FDR-06-03,3,9,3,enable
F0,FDR-08-01,4,9,1,enable
F0,FDR-08-02,4,9,2,enable
F0,FDR-08-03,4,9,3,enable
F0,FDR-10-01,5,9,1,enable
F0,FDR-10-02,5,9,2,enable
F0,FDR-10-03,5,9,3,enable
F0,FDR-12-01,6,9,1,enable
F0,FDR-12-02,6,9,2,enable
F0,FDR-12-03,6,9,3,enable
F0,FDR-14-01,7,9,1,enable
F0,FDR-14-02,7,9,2,enable
F0,FDR-14-03,7,9,3,enable
F0,FDR-16-01,8,9,1,enable
F0,FDR-16-02,8,9,2,enable
F0,FDR-16-03,8,9,3,enable
F0,FDR-18-01,9,9,1,enable
F0,FDR-18-02,9,9,2,enable
F0,FDR-18-03,9,9,3,enable
F0,FDR-20-01,10,9,1,enable
F0,FDR-20-02,10,9,2,enable
F0,FDR-20-03,10,9,3,enable
F0,FDR-22-01,11,9,1,enable
F0,FDR-22-02,11,9,2,enable
F0,FDR-22-03,11,9,3,enable
F0,FDR-24-01,12,9,1,enable
F0,FDR-24-02,12,9,2,enable
F0,FDR-24-03,12,9,3,enable
F0,FDR-26-01,13,9,1,enable
D1,01-01-01-L1,1,1,1,enable
D1,01-02-01-L1,1,2,1,enable
D1,01-03-01-L1,2,1,1,enable
D1,01-04-01-L1,2,2,1,enable
D1,01-05-01-L1,3,1,1,enable
D1,01-06-01-L1,3,2,1,enable
D1,01-07-01-L1,4,1,1,enable
D1,01-08-01-L1,4,2,1,enable
D1,01-09-01-L1,5,1,1,enable
D1,01-10-01-L1,5,2,1,enable
D1,01-11-01-L1,6,1,1,enable
D1,01-12-01-L1,6,2,1,enable
D1,01-13-01-L1,7,1,1,enable
D1,01-14-01-L1,7,2,1,enable
D1,01-15-01-L1,8,1,1,enable
D1,01-16-01-L1,8,2,1,enable
D1,01-17-01-L1,9,1,1,enable
D1,01-18-01-L1,9,2,1,enable
D1,01-19-01-L1,10,1,1,enable
D1,01-20-01-L1,10,2,1,enable
D1,01-21-01-L1,11,1,1,enable
D1,01-22-01-L1,11,2,1,enable
D1,01-23-01-L1,12,1,1,enable
D1,01-24-01-L1,12,2,1,enable
D1,01-25-01-L1,13,1,1,enable
D1,01-26-01-L1,13,2,1,enable
D1,01-27-01-L1,14,1,1,enable
D1,01-28-01-L1,14,2,1,enable
D1,01-29-01-L1,15,1,1,enable
D1,01-30-01-L1,15,2,1,enable
D1,01-31-01-L1,16,1,1,enable
D1,01-32-01-L1,16,2,1,enable
D1,01-33-01-L1,17,1,1,enable
D1,01-34-01-L1,17,2,1,enable
D1,01-35-01-L1,18,1,1,enable
D1,01-36-01-L1,18,2,1,enable
D1,01-37-01-L1,19,1,1,enable
D1,01-38-01-L1,19,2,1,enable
D1,01-39-01-L1,20,1,1,enable
D1,01-40-01-L1,20,2,1,enable
D1,01-41-01-L1,21,1,1,enable
D1,01-42-01-L1,21,2,1,enable
D1,01-43-01-L1,22,1,1,enable
D1,01-44-01-L1,22,2,1,enable
D1,01-45-01-L1,23,1,1,enable
D1,01-46-01-L1,23,2,1,enable
D1,01-47-01-L1,24,1,1,enable
D1,01-48-01-L1,24,2,1,enable
D1,01-49-01-L1,25,1,1,enable
D1,01-50-01-L1,25,2,1,enable
D1,01-51-01-L1,26,1,1,enable
D1,01-52-01-L1,26,2,1,enable
D1,01-53-01-L1,27,1,1,enable
D1,01-54-01-L1,27,2,1,enable
D1,01-55-01-L1,28,1,1,enable
D1,01-56-01-L1,28,2,1,enable
D1,01-57-01-L1,29,1,1,enable
D1,02-01-01-L1,1,3,1,enable
D1,02-01-01-L2,1,3,2,enable
D1,02-01-01-LS,1,3,3,enable
D1,02-02-01-L1,1,4,1,enable
D1,02-02-01-L2,1,4,2,enable
D1,02-02-01-LS,1,4,3,enable
D1,02-03-01-L1,2,3,1,enable
D1,02-03-01-L2,2,3,2,enable
